Recency,Frequency,Monetary
325,12,77556.46
1,8,4921.53
74,5,2019.3999999999999
18,4,4428.69
309,1,334.4
374,1,300.93
35,10,2849.84
203,2,406.76
231,1,1079.4
213,2,947.61
22,6,6371.73
32,3,18287.66
1,5,3887.07
57,10,8873.39
51,8,4252.89
286,4,511.25
2,11,5356.2300000000005
109,2,552.0
7,4,1313.1
290,2,641.38
633,1,500.24
3,1,168.9
627,1,917.7
412,3,1791.15
50,7,4316.56
44,5,4067.38
71,3,1298.04
310,3,1127.65
24,4,2989.2200000000003
10,2,457.5
389,2,503.15
314,4,3426.32
129,2,5416.32
81,4,1620.22
21,11,9676.3
4,5,1845.31
184,5,1850.56
28,2,585.27
378,1,1938.4
337,2,401.9
414,1,143.94
15,8,3901.11
402,3,1433.33
79,1,549.84
21,6,2724.84
590,1,234.75000000000003
71,6,2399.45
63,2,1272.48
18,15,4721.17
673,1,931.43
35,2,2409.9
45,1,1635.6599999999999
118,7,1962.3
413,1,205.25
302,1,84.3
322,6,1256.9
49,2,1019.36
681,1,63.24
148,1,1710.39
21,5,6390.36
49,5,1708.12
32,8,4340.77
78,7,23419.29
308,3,1013.71
409,1,346.9
74,6,2596.93
66,4,999.45
216,6,952.41
23,28,144458.37
656,1,202.56
2,20,6797.41
112,4,2021.2
385,2,503.01
63,1,600.39
15,6,1098.6
95,17,5231.8
0,10,2622.39
162,4,3340.0299999999997
77,2,1741.41
194,2,1345.21
21,3,825.8
25,9,7956.46
8,8,6204.41
42,1,256.4
35,27,10432.22
42,5,5059.32
0,10,16794.14
84,3,1103.43
79,6,13925.93
99,1,509.01
1,39,12683.4
13,2,2906.85
682,2,1142.88
461,2,859.2
366,1,173.55
2,1,172.06
731,1,485.31
20,5,5005.46
21,2,434.98
57,1,1002.3100000000001
242,1,476.49
43,1,449.45
21,6,4835.89
155,5,688.2
10,8,12669.88
16,2,430.57
133,1,707.09
55,5,16679.78
72,10,5879.95
43,3,3181.04
65,8,2995.91
70,4,1777.49
604,1,454.36
455,1,326.65
93,2,826.88
18,2,1189.59
52,4,1344.78
9,8,1212.05
16,2,742.1899999999999
681,1,56.73
422,1,132.8
187,5,3670.74
522,2,3070.54
689,1,211.95
1,79,39918.19
31,19,16249.289999999999
28,5,3928.0499999999997
16,31,12372.75
53,2,1149.6399999999999
15,23,14083.91
22,9,20276.37
3,1,680.99
10,1,527.2
27,7,5464.85
22,15,12185.51
575,29,23691.4
16,19,5097.18
